transactionId,accountId,merchantId,amount,timestamp,channel,isFraud
TXN-000039,ACC-674,MER-214,1009.31,2025-07-30T13:15:32Z,ATM,false
TXN-000040,ACC-223,MER-364,137.45,2025-12-08T11:30:04Z,Mobile App,false
TXN-000041,ACC-385,MER-027,2220.32,2025-06-12T00:17:38Z,Branch,false
TXN-000042,ACC-051,MER-458,2193.3,2025-10-23T13:07:30Z,UPI,false
TXN-000043,ACC-128,MER-096,4846.25,2026-03-26T04:21:33Z,UPI,false
TXN-000044,ACC-125,MER-167,3783.28,2026-01-15T21:38:30Z,UPI,false
TXN-000045,ACC-367,MER-325,2076.22,2025-03-12T12:27:59Z,UPI,false
TXN-000046,ACC-369,MER-490,1277.17,2025-12-21T22:14:07Z,Mobile App,false
TXN-000047,ACC-008,MER-390,4017.25,2025-03-19T17:21:57Z,POS,false
TXN-000048,ACC-370,MER-318,4182.84,2026-05-22T10:11:42Z,POS,false
TXN-000049,ACC-235,MER-087,3252.51,2026-01-02T02:48:52Z,Mobile App,false
TXN-000050,ACC-282,MER-332,227.8,2025-05-18T18:11:59Z,UPI,false
TXN-000051,ACC-010,MER-132,2593.59,2025-12-31T21:56:36Z,Mobile App,false
TXN-000052,ACC-063,MER-215,4331.86,2025-10-16T17:03:55Z,UPI,false
TXN-000053,ACC-425,MER-162,2096.78,2026-02-07T19:23:55Z,ATM,false
TXN-000054,ACC-760,MER-186,1825.97,2025-05-07T02:51:55Z,Mobile App,false
TXN-000055,ACC-510,MER-209,1531.02,2025-07-25T23:20:18Z,UPI,false
TXN-000056,ACC-329,MER-030,3916.56,2026-01-01T10:47:56Z,Mobile App,false
TXN-000057,ACC-753,MER-148,4567.97,2025-10-20T20:28:29Z,UPI,false
TXN-000058,ACC-740,MER-538,849.53,2025-09-28T19:36:46Z,ATM,false
TXN-000059,ACC-095,MER-430,4940.97,2026-01-05T11:29:33Z,Branch,false
TXN-000060,ACC-426,MER-550,2202.64,2026-05-10T15:50:31Z,Mobile App,false
TXN-000061,ACC-319,MER-488,2347.97,2025-04-10T13:47:43Z,POS,false
TXN-000062,ACC-673,MER-553,1828.55,2025-03-16T20:59:39Z,Branch,false
TXN-000063,ACC-505,MER-585,982.24,2025-04-11T19:47:21Z,ATM,false
TXN-000064,ACC-231,MER-085,3716.18,2025-08-08T06:26:57Z,UPI,false
TXN-000065,ACC-108,MER-256,1131.89,2026-05-28T03:32:08Z,POS,false
TXN-000066,ACC-337,MER-474,3342.11,2026-03-25T07:10:28Z,POS,false
TXN-000067,ACC-779,MER-135,1640.39,2025-04-23T19:06:56Z,UPI,false
TXN-000068,ACC-755,MER-036,3739.93,2026-05-06T19:06:04Z,Mobile App,false
TXN-000069,ACC-203,MER-187,72.59,2025-07-04T17:27:36Z,ATM,false
TXN-000070,ACC-407,MER-331,59.55,2025-09-25T02:47:37Z,ATM,false
TXN-000071,ACC-644,MER-592,2028.88,2025-12-19T00:08:27Z,UPI,false
TXN-000072,ACC-270,MER-559,2199.88,2026-05-25T02:40:09Z,UPI,false
TXN-000073,ACC-346,MER-346,4983.43,2025-09-22T20:23:01Z,Branch,false
TXN-000074,ACC-791,MER-563,2282.12,2025-09-23T22:19:58Z,UPI,false
TXN-000075,ACC-270,MER-065,3909.99,2025-01-20T17:45:03Z,UPI,false
TXN-000076,ACC-130,MER-097,1136.4,2025-03-28T07:44:35Z,Mobile App,false
TXN-000077,ACC-564,MER-303,632.37,2025-12-18T12:25:11Z,Branch,false
TXN-000078,ACC-567,MER-085,4831.5,2025-05-22T20:08:29Z,Branch,false
TXN-000079,ACC-524,MER-200,709.4,2025-01-13T23:40:09Z,ATM,false
TXN-000080,ACC-752,MER-363,2628.35,2026-03-14T04:53:58Z,UPI,false
TXN-000081,ACC-538,MER-049,4001.5,2025-06-28T23:24:22Z,UPI,false
TXN-000082,ACC-171,MER-384,794.59,2026-05-09T03:31:50Z,UPI,false
TXN-000083,ACC-232,MER-156,2704.57,2025-11-26T08:13:34Z,ATM,false
TXN-000084,ACC-286,MER-051,4795.32,2025-08-19T07:05:38Z,Branch,false
TXN-000085,ACC-535,MER-432,4468.83,2025-04-16T17:27:30Z,POS,false
TXN-000086,ACC-001,MER-077,1257.39,2025-08-31T00:44:41Z,ATM,false
TXN-000087,ACC-752,MER-069,297.05,2025-04-22T16:28:08Z,Branch,false
TXN-000088,ACC-165,MER-249,1956.8,2025-11-22T10:53:56Z,Branch,false
TXN-000089,ACC-606,MER-199,1243.62,2025-06-25T18:37:55Z,POS,false
TXN-000090,ACC-144,MER-412,618.23,2026-06-07T04:54:11Z,ATM,false
TXN-000091,ACC-211,MER-455,712.9,2025-09-12T08:28:22Z,Mobile App,false
TXN-000092,ACC-653,MER-121,2603.58,2026-05-04T04:56:30Z,UPI,false
TXN-000093,ACC-483,MER-238,3302.45,2025-04-07T23:38:34Z,UPI,false
TXN-000094,ACC-761,MER-466,769.23,2025-09-23T03:43:55Z,POS,false
TXN-000095,ACC-042,MER-391,4190.05,2026-05-02T22:13:55Z,Branch,false
TXN-000096,ACC-437,MER-600,843.11,2026-01-14T12:00:25Z,POS,false
TXN-000097,ACC-231,MER-536,516.15,2026-04-14T14:37:35Z,UPI,false
TXN-000098,ACC-372,MER-248,4346.94,2025-12-02T21:57:41Z,Branch,false
TXN-000099,ACC-059,MER-108,4325.97,2025-08-03T06:30:29Z,POS,false
TXN-000100,ACC-656,MER-521,1644.82,2025-07-15T03:37:19Z,POS,false
TXN-000101,ACC-086,MER-014,506.55,2025-07-08T13:04:48Z,UPI,false
TXN-000102,ACC-507,MER-227,2955.83,2025-03-22T18:03:23Z,Branch,false
TXN-000103,ACC-575,MER-580,1879.74,2026-06-03T12:09:54Z,Branch,false
TXN-000104,ACC-044,MER-111,2952.12,2025-03-18T13:36:12Z,UPI,false
TXN-000105,ACC-098,MER-121,4833.68,2026-03-27T14:15:32Z,UPI,false
TXN-000106,ACC-432,MER-404,3591.73,2026-05-18T14:36:12Z,Branch,false
TXN-000107,ACC-472,MER-588,4317.19,2025-11-06T16:10:16Z,Branch,false
TXN-000108,ACC-686,MER-027,1080.98,2026-05-05T17:46:06Z,POS,false
TXN-000109,ACC-102,MER-300,4603.43,2025-12-21T16:04:22Z,POS,false
TXN-000110,ACC-368,MER-353,1762.54,2025-08-03T20:48:11Z,Branch,false
TXN-000111,ACC-049,MER-333,2291.56,2025-07-24T09:54:47Z,ATM,false
TXN-000112,ACC-215,MER-572,3854.27,2025-09-08T00:17:58Z,Branch,false
TXN-000113,ACC-772,MER-357,3905.06,2026-01-24T05:37:33Z,Mobile App,false
TXN-000114,ACC-342,MER-361,3082.4,2025-06-26T18:13:46Z,POS,false
TXN-000115,ACC-314,MER-104,4570.94,2025-11-12T09:36:18Z,POS,false
TXN-000116,ACC-637,MER-510,3197.74,2025-06-07T00:19:57Z,POS,false
TXN-000117,ACC-725,MER-498,1753.62,2025-10-08T18:09:45Z,ATM,false
TXN-000118,ACC-173,MER-331,80.62,2025-08-30T04:39:13Z,UPI,false
TXN-000119,ACC-718,MER-574,1481.72,2025-05-19T04:26:50Z,Branch,false
TXN-000120,ACC-634,MER-078,993.9,2026-04-10T10:57:25Z,Branch,false
TXN-000121,ACC-270,MER-150,3579.72,2025-11-05T04:04:54Z,ATM,false
TXN-000122,ACC-395,MER-107,4225.2,2025-08-17T06:55:17Z,UPI,false
TXN-000123,ACC-584,MER-085,1619.86,2025-02-01T16:03:39Z,ATM,false
TXN-000124,ACC-562,MER-159,3337.94,2026-01-20T02:00:58Z,ATM,false
TXN-000125,ACC-712,MER-225,1227.51,2026-05-19T05:38:20Z,ATM,false
TXN-000126,ACC-149,MER-013,1484.67,2026-04-21T12:37:03Z,Branch,false
TXN-000127,ACC-450,MER-425,2782.06,2025-05-30T07:35:48Z,Branch,false
TXN-000128,ACC-191,MER-532,2904.9,2025-10-28T16:08:15Z,POS,false
TXN-000129,ACC-724,MER-373,4017.33,2025-10-15T13:33:34Z,POS,false
TXN-000130,ACC-241,MER-328,2702.31,2026-06-23T10:10:01Z,ATM,false
TXN-000131,ACC-330,MER-253,3977.99,2025-03-17T01:09:12Z,UPI,false
TXN-000132,ACC-726,MER-488,2677.26,2026-04-15T05:05:00Z,ATM,false
TXN-000133,ACC-738,MER-357,3588.11,2026-03-07T08:39:57Z,ATM,false
TXN-000134,ACC-477,MER-276,2871.72,2026-04-26T15:22:43Z,Branch,false
TXN-000135,ACC-510,MER-447,324.22,2025-01-18T04:15:24Z,UPI,false
TXN-000136,ACC-460,MER-573,3251.74,2026-01-06T04:57:39Z,ATM,false
TXN-000137,ACC-066,MER-363,328.0,2026-03-19T12:58:38Z,POS,false
TXN-000138,ACC-746,MER-029,3568.35,2025-04-14T13:57:02Z,Branch,false
TXN-000139,ACC-221,MER-463,1549.82,2025-08-25T15:17:38Z,POS,false
TXN-000140,ACC-239,MER-584,3992.28,2025-11-13T05:40:37Z,ATM,false
TXN-000141,ACC-785,MER-553,4900.91,2025-01-06T06:18:05Z,UPI,false
TXN-000142,ACC-055,MER-367,2937.65,2025-02-25T03:47:08Z,UPI,false
TXN-000143,ACC-066,MER-543,2069.14,2025-06-01T03:57:37Z,ATM,false
TXN-000144,ACC-616,MER-184,4178.86,2026-01-20T11:00:13Z,Mobile App,false
TXN-000145,ACC-340,MER-092,471.71,2026-06-17T07:54:25Z,Branch,false
TXN-000146,ACC-418,MER-391,3482.38,2025-09-24T15:29:20Z,ATM,false
TXN-000147,ACC-099,MER-319,1776.43,2025-07-15T17:53:02Z,Branch,false
TXN-000148,ACC-093,MER-189,1303.27,2025-09-30T18:51:18Z,Mobile App,false
TXN-000149,ACC-348,MER-463,3759.33,2025-01-16T20:17:51Z,UPI,false
TXN-000150,ACC-063,MER-571,296.67,2025-05-11T21:18:43Z,Mobile App,false
TXN-000151,ACC-542,MER-013,24.3,2025-01-22T11:29:58Z,UPI,false
TXN-000152,ACC-577,MER-384,4296.93,2025-05-27T09:33:39Z,UPI,false
TXN-000153,ACC-511,MER-187,2676.53,2025-03-17T07:34:23Z,ATM,false
TXN-000154,ACC-615,MER-384,2870.35,2025-05-18T20:41:27Z,UPI,false
TXN-000155,ACC-153,MER-456,152.68,2026-02-22T13:24:03Z,Mobile App,false
TXN-000156,ACC-320,MER-299,539.77,2026-04-04T08:22:45Z,UPI,false
TXN-000157,ACC-172,MER-103,2488.76,2026-04-22T06:43:12Z,POS,false
TXN-000158,ACC-466,MER-562,4159.02,2025-04-01T09:30:38Z,UPI,false
TXN-000159,ACC-068,MER-347,1231.86,2026-01-17T04:34:53Z,ATM,false
TXN-000160,ACC-414,MER-043,1792.25,2026-01-09T03:44:28Z,UPI,false
TXN-000161,ACC-102,MER-533,455.68,2026-02-14T14:16:59Z,UPI,false
TXN-000162,ACC-589,MER-545,2608.84,2026-05-15T14:05:21Z,ATM,false
TXN-000163,ACC-290,MER-329,678.24,2025-08-16T13:09:15Z,Branch,false
TXN-000164,ACC-414,MER-446,1885.96,2026-01-17T13:21:58Z,Mobile App,false
TXN-000165,ACC-330,MER-575,2421.04,2026-01-22T12:12:30Z,POS,false
TXN-000166,ACC-790,MER-057,2638.22,2025-03-11T06:34:31Z,POS,false
TXN-000167,ACC-602,MER-585,2714.39,2025-02-07T05:57:54Z,UPI,false
TXN-000168,ACC-029,MER-049,4833.87,2025-10-01T05:23:10Z,UPI,false
TXN-000169,ACC-054,MER-445,3692.96,2025-05-19T11:34:07Z,UPI,false
TXN-000170,ACC-380,MER-046,4553.4,2025-05-25T05:47:57Z,ATM,false
TXN-000171,ACC-730,MER-328,365.74,2025-06-10T13:51:21Z,UPI,false
TXN-000172,ACC-656,MER-016,227.12,2026-06-20T11:09:07Z,Mobile App,false
TXN-000173,ACC-298,MER-005,4522.07,2025-09-14T21:38:23Z,ATM,false
TXN-000174,ACC-400,MER-234,1859.55,2025-02-04T18:19:37Z,ATM,false
TXN-000175,ACC-146,MER-253,3109.2,2025-11-25T10:19:12Z,UPI,false
TXN-000176,ACC-728,MER-318,1025.18,2025-07-31T17:54:38Z,Branch,false
TXN-000177,ACC-707,MER-011,2080.02,2025-08-04T23:54:41Z,ATM,false
TXN-000178,ACC-798,MER-500,1267.87,2026-06-22T21:34:01Z,Branch,false
TXN-000179,ACC-043,MER-460,645.31,2025-02-24T18:40:09Z,Mobile App,false
TXN-000180,ACC-119,MER-163,4511.18,2025-05-23T10:03:04Z,UPI,false
TXN-000181,ACC-336,MER-172,4717.57,2026-06-13T21:00:01Z,Branch,false
TXN-000182,ACC-292,MER-550,1432.91,2025-07-23T02:41:53Z,Mobile App,false
TXN-000183,ACC-780,MER-123,1975.14,2025-06-06T23:54:13Z,Mobile App,false
TXN-000184,ACC-569,MER-510,1004.74,2025-01-28T17:24:23Z,Branch,false
TXN-000185,ACC-491,MER-112,557.92,2025-10-29T10:02:04Z,ATM,false
TXN-000186,ACC-086,MER-070,1209.52,2025-12-07T06:56:07Z,ATM,false
TXN-000187,ACC-453,MER-043,3314.72,2025-05-27T18:38:43Z,ATM,false
TXN-000188,ACC-743,MER-326,219.75,2025-04-29T14:43:50Z,POS,false
TXN-000189,ACC-257,MER-180,1751.24,2026-05-16T07:32:59Z,Mobile App,false
TXN-000190,ACC-401,MER-390,766.33,2025-02-19T10:30:37Z,ATM,false
TXN-000191,ACC-189,MER-200,1680.11,2025-01-20T15:48:23Z,Branch,false
TXN-000192,ACC-072,MER-252,3008.7,2025-05-06T03:05:03Z,ATM,false
TXN-000193,ACC-561,MER-326,284.51,2025-11-15T09:32:25Z,UPI,false
TXN-000194,ACC-548,MER-018,3093.31,2025-09-07T20:06:26Z,POS,false
TXN-000195,ACC-040,MER-147,4507.7,2025-01-05T14:00:50Z,Branch,false
TXN-000196,ACC-004,MER-577,293.03,2026-03-17T08:48:11Z,Mobile App,false
TXN-000197,ACC-230,MER-037,2818.63,2026-05-19T23:40:33Z,Branch,false
TXN-000198,ACC-586,MER-396,1413.06,2025-12-16T06:28:43Z,ATM,false
TXN-000199,ACC-700,MER-503,3063.43,2026-05-10T12:54:10Z,Branch,false
TXN-000200,ACC-491,MER-157,2271.66,2025-06-23T20:40:37Z,ATM,false
TXN-000201,ACC-294,MER-179,4815.24,2025-07-19T18:45:34Z,ATM,false
TXN-000202,ACC-377,MER-022,2159.25,2025-02-03T01:16:50Z,Branch,false
TXN-000203,ACC-421,MER-555,4258.57,2025-04-08T02:37:13Z,POS,false
TXN-000204,ACC-214,MER-416,2106.28,2025-12-18T07:42:11Z,Branch,false
TXN-000205,ACC-398,MER-475,1818.44,2025-11-06T19:43:09Z,ATM,false
TXN-000206,ACC-741,MER-543,1030.37,2025-05-29T07:50:49Z,UPI,false
TXN-000207,ACC-200,MER-373,4501.87,2025-11-14T01:33:01Z,POS,false
TXN-000208,ACC-660,MER-315,1068.35,2025-03-26T09:23:10Z,UPI,false
TXN-000209,ACC-668,MER-464,1502.3,2026-04-30T08:40:25Z,Branch,false
TXN-000210,ACC-053,MER-205,1086.67,2025-05-02T17:27:37Z,Branch,false
TXN-000211,ACC-530,MER-443,902.4,2026-06-24T00:31:52Z,ATM,false
TXN-000212,ACC-396,MER-582,3335.3,2026-06-13T15:51:57Z,UPI,false
TXN-000213,ACC-788,MER-160,3206.55,2025-06-03T15:26:27Z,ATM,false
TXN-000214,ACC-422,MER-325,2343.43,2025-04-12T09:43:23Z,Branch,false
TXN-000215,ACC-324,MER-544,3676.85,2026-06-10T05:05:03Z,Mobile App,false
TXN-000216,ACC-067,MER-088,108.31,2025-02-10T23:22:54Z,POS,false
TXN-000217,ACC-093,MER-321,4657.88,2025-04-27T23:26:31Z,ATM,false
TXN-000218,ACC-315,MER-068,1815.34,2026-03-30T04:16:07Z,Branch,false
TXN-000219,ACC-487,MER-347,3518.31,2025-03-20T20:05:15Z,UPI,false
TXN-000220,ACC-164,MER-156,817.12,2026-04-26T05:44:25Z,Branch,false
TXN-000221,ACC-163,MER-576,2762.05,2025-08-07T10:35:35Z,ATM,false
TXN-000222,ACC-117,MER-151,4546.01,2025-01-31T14:03:56Z,ATM,false
TXN-000223,ACC-391,MER-485,1897.47,2025-01-16T11:58:18Z,UPI,false
TXN-000224,ACC-705,MER-372,4654.78,2025-05-22T05:37:30Z,Branch,false
TXN-000225,ACC-021,MER-504,4733.07,2025-09-21T21:53:44Z,Mobile App,false
TXN-000226,ACC-379,MER-071,887.0,2026-06-11T03:09:03Z,Branch,false
TXN-000227,ACC-154,MER-114,4964.49,2026-06-04T13:16:18Z,ATM,false
TXN-000228,ACC-650,MER-329,1462.45,2025-03-06T12:35:14Z,POS,false
TXN-000229,ACC-618,MER-507,80.76,2025-11-21T11:12:46Z,ATM,false
TXN-000230,ACC-374,MER-259,960.92,2026-02-09T05:32:53Z,Mobile App,false
TXN-000231,ACC-502,MER-327,4529.18,2025-07-05T11:37:40Z,POS,false
TXN-000232,ACC-270,MER-460,4980.77,2025-07-31T22:02:30Z,Branch,false
TXN-000233,ACC-676,MER-083,1665.26,2026-04-30T19:21:56Z,Mobile App,false
TXN-000234,ACC-753,MER-588,97.04,2026-01-01T03:41:24Z,Branch,false
TXN-000235,ACC-398,MER-037,3476.75,2025-10-19T09:09:10Z,POS,false
TXN-000236,ACC-376,MER-525,4268.28,2025-11-13T06:39:56Z,POS,false
TXN-000237,ACC-136,MER-355,3595.87,2026-01-15T16:27:34Z,POS,false
TXN-000238,ACC-274,MER-086,4566.87,2025-03-07T20:41:56Z,POS,false
TXN-000239,ACC-522,MER-117,116.01,2025-03-25T03:32:57Z,ATM,false
TXN-000240,ACC-077,MER-182,1867.57,2025-07-04T00:58:51Z,Mobile App,false
TXN-000241,ACC-078,MER-010,3615.81,2025-09-22T23:12:49Z,UPI,false
TXN-000242,ACC-073,MER-160,2914.19,2025-12-24T21:14:41Z,POS,false
TXN-000243,ACC-681,MER-109,3063.21,2025-04-18T17:50:02Z,ATM,false
TXN-000244,ACC-764,MER-084,928.69,2025-03-13T03:17:07Z,Mobile App,false
TXN-000245,ACC-444,MER-239,1051.88,2025-10-28T12:21:23Z,POS,false
TXN-000246,ACC-641,MER-543,964.0,2026-01-20T17:04:05Z,UPI,false
TXN-000247,ACC-724,MER-191,2346.58,2026-04-05T16:10:34Z,Mobile App,false
TXN-000248,ACC-454,MER-190,2538.41,2025-06-03T13:46:38Z,POS,false
TXN-000249,ACC-148,MER-556,2877.59,2025-04-07T07:43:10Z,Mobile App,false
TXN-000250,ACC-193,MER-192,4243.23,2025-06-26T20:55:31Z,ATM,false
TXN-000251,ACC-405,MER-304,3008.17,2025-08-10T16:17:52Z,ATM,false
TXN-000252,ACC-437,MER-257,4122.52,2026-02-17T02:11:04Z,Mobile App,false
TXN-000253,ACC-671,MER-258,1407.96,2025-02-17T20:40:19Z,Mobile App,false
TXN-000254,ACC-506,MER-353,4513.56,2025-12-01T01:32:52Z,Mobile App,false
TXN-000255,ACC-691,MER-457,60.98,2025-03-10T12:45:28Z,POS,false
TXN-000256,ACC-603,MER-371,3490.68,2025-02-21T04:04:12Z,UPI,false
TXN-000257,ACC-269,MER-327,2254.48,2026-01-09T04:12:53Z,POS,false
TXN-000258,ACC-512,MER-308,3817.3,2025-05-28T19:10:13Z,ATM,false
TXN-000259,ACC-602,MER-175,214.45,2025-12-28T03:11:58Z,Branch,false
TXN-000260,ACC-333,MER-413,2318.66,2025-12-18T05:10:45Z,ATM,false
TXN-000261,ACC-146,MER-395,2098.57,2025-04-19T07:12:04Z,POS,false
TXN-000262,ACC-391,MER-153,1997.69,2026-05-30T00:19:31Z,ATM,false
TXN-000263,ACC-155,MER-189,1085.75,2026-01-02T20:05:26Z,ATM,false
TXN-000264,ACC-278,MER-346,989.58,2025-05-03T23:13:49Z,POS,false
TXN-000265,ACC-563,MER-285,1139.47,2026-01-23T16:35:09Z,Branch,false
TXN-000266,ACC-446,MER-164,2437.22,2025-10-02T11:16:59Z,Mobile App,false
TXN-000267,ACC-069,MER-332,3530.41,2025-04-20T21:20:14Z,ATM,false
TXN-000268,ACC-532,MER-507,4018.31,2025-01-11T01:44:00Z,POS,false
TXN-000269,ACC-647,MER-163,1693.56,2026-04-26T09:18:22Z,Branch,false
TXN-000270,ACC-627,MER-125,2995.98,2025-09-22T22:30:48Z,POS,false
TXN-000271,ACC-706,MER-132,1848.47,2025-02-19T00:44:06Z,Mobile App,false
TXN-000272,ACC-458,MER-379,2085.59,2025-09-11T08:49:12Z,ATM,false
TXN-000273,ACC-321,MER-488,3934.24,2026-03-25T08:09:24Z,POS,false
TXN-000274,ACC-716,MER-200,4509.38,2026-05-07T10:02:32Z,UPI,false
TXN-000275,ACC-235,MER-243,4066.8,2026-03-14T12:38:10Z,Branch,false
TXN-000276,ACC-020,MER-321,2555.29,2025-04-26T05:32:46Z,UPI,false
TXN-000277,ACC-330,MER-084,2646.65,2025-07-26T14:44:09Z,Mobile App,false
TXN-000278,ACC-461,MER-399,3887.39,2025-08-03T12:56:03Z,ATM,false
TXN-000279,ACC-373,MER-061,2369.26,2025-01-03T08:54:58Z,POS,false
TXN-000280,ACC-365,MER-495,2809.83,2025-09-06T13:53:50Z,Branch,false
TXN-000281,ACC-322,MER-550,1001.09,2025-05-27T04:12:36Z,UPI,false
TXN-000282,ACC-620,MER-124,1478.8,2025-06-01T10:00:08Z,UPI,false
TXN-000283,ACC-517,MER-290,1241.88,2025-01-09T11:27:07Z,POS,false
TXN-000284,ACC-268,MER-210,721.15,2026-05-22T03:21:22Z,Branch,false
TXN-000285,ACC-081,MER-378,2325.23,2025-04-25T15:44:17Z,Branch,false
TXN-000286,ACC-641,MER-392,2776.77,2025-09-01T23:00:22Z,Mobile App,false
TXN-000287,ACC-281,MER-467,1380.47,2025-12-19T02:44:55Z,POS,false
TXN-000288,ACC-167,MER-132,1614.7,2025-02-10T17:14:40Z,POS,false
TXN-000289,ACC-566,MER-489,1844.74,2025-10-19T07:02:53Z,UPI,false
TXN-000290,ACC-027,MER-445,3232.0,2025-09-11T16:27:37Z,UPI,false
TXN-000291,ACC-779,MER-036,3218.46,2026-03-18T14:09:37Z,Mobile App,false
TXN-000292,ACC-524,MER-058,3614.16,2026-01-21T18:43:23Z,Mobile App,false
TXN-000293,ACC-070,MER-144,758.7,2025-07-02T12:58:15Z,Mobile App,false
TXN-000294,ACC-773,MER-369,4861.62,2025-11-17T12:12:01Z,POS,false
TXN-000295,ACC-769,MER-072,2462.79,2026-02-12T12:43:54Z,Branch,false
TXN-000296,ACC-658,MER-406,3473.24,2025-03-11T11:54:39Z,ATM,false
TXN-000297,ACC-460,MER-163,577.13,2025-07-22T12:49:11Z,ATM,false
TXN-000298,ACC-246,MER-058,3224.15,2025-02-10T18:21:21Z,ATM,false
TXN-000299,ACC-491,MER-044,211.84,2025-04-29T13:14:35Z,ATM,false
TXN-000300,ACC-513,MER-328,1615.43,2026-06-05T14:36:28Z,Branch,false
TXN-000301,ACC-020,MER-523,3827.92,2026-06-05T03:01:58Z,Branch,false
TXN-000302,ACC-564,MER-070,201.61,2025-06-12T04:59:47Z,ATM,false
TXN-000303,ACC-597,MER-504,36.75,2026-03-28T17:29:48Z,POS,false
TXN-000304,ACC-522,MER-169,1986.51,2025-01-06T17:00:46Z,UPI,false
TXN-000305,ACC-289,MER-273,2781.76,2025-05-05T04:04:05Z,ATM,false
TXN-000306,ACC-773,MER-263,1673.09,2025-07-22T05:07:25Z,Branch,false
TXN-000307,ACC-123,MER-293,2258.8,2026-05-21T23:08:12Z,UPI,false
TXN-000308,ACC-789,MER-416,1023.75,2025-10-28T22:37:47Z,Mobile App,false
TXN-000309,ACC-761,MER-211,1001.51,2025-08-20T22:29:23Z,ATM,false
TXN-000310,ACC-608,MER-311,1805.33,2026-05-02T07:40:43Z,ATM,false
TXN-000311,ACC-581,MER-259,1084.81,2025-01-10T14:24:48Z,ATM,false
TXN-000312,ACC-186,MER-342,1032.56,2025-10-29T19:30:06Z,POS,false
TXN-000313,ACC-469,MER-401,3009.46,2026-01-17T21:37:17Z,Branch,false
TXN-000314,ACC-575,MER-293,3975.22,2025-07-13T00:43:10Z,Mobile App,false
TXN-000315,ACC-632,MER-110,4422.18,2026-04-27T00:09:18Z,Mobile App,false
TXN-000316,ACC-012,MER-281,4650.87,2025-10-24T06:12:04Z,UPI,false
TXN-000317,ACC-164,MER-100,268.64,2025-05-29T04:29:54Z,Branch,false
